"","country","ISO","Election.type","year","turnout","VAP.turnout","Compulsory.voting","turnout.change","vap.t.change"
"268","Italy","IT","Parliamentary",2006,83.62,82.13,"No",3.08,3
"269","Italy","IT","Parliamentary",2001,81.44,84.92,"No",-2.18000000000001,2.79000000000001
"270","Italy","IT","Parliamentary",1996,82.91,87.35,"No",1.47,2.42999999999999
"271","Italy","IT","Parliamentary",1994,86.14,90.84,"No",3.23,3.49000000000001
"272","Italy","IT","Parliamentary",1992,87.44,92.34,"Yes",1.3,1.5
"273","Italy","IT","Parliamentary",1987,88.86,94.4,"Yes",1.42,2.06
"274","Italy","IT","Parliamentary",1983,89.02,91.76,"Yes",0.159999999999997,-2.64
"275","Italy","IT","Parliamentary",1979,90.35,92.75,"Yes",1.33,0.989999999999995
"276","Italy","IT","Parliamentary",1976,93.37,95.43,"Yes",3.02000000000001,2.68000000000001
"277","Italy","IT","Parliamentary",1972,93.18,94.7,"Yes",-0.189999999999998,-0.730000000000004
"278","Italy","IT","Parliamentary",1968,92.79,93.1,"Yes",-0.390000000000001,-1.60000000000001
"279","Italy","IT","Parliamentary",1963,92.88,95.31,"Yes",0.0899999999999892,2.21000000000001
"280","Italy","IT","Parliamentary",1958,93.72,93.92,"Yes",0.840000000000003,-1.39
"281","Italy","IT","Parliamentary",1953,93.87,91.53,"Yes",0.150000000000006,-2.39
"282","Italy","IT","Parliamentary",1948,92.23,93.26,"Yes",-1.64,1.73
"283","Italy","IT","Parliamentary",1946,89.08,88.01,"Yes",-3.15000000000001,-5.25
"284","Japan","JP","Parliamentary",2014,52.66,51.97,"No",NA,NA
"285","Japan","JP","Parliamentary",2012,59.32,59.67,"No",6.66,7.7
"286","Japan","JP","Parliamentary",2009,69.27,69.34,"No",9.95,9.67
"287","Japan","JP","Parliamentary",2005,67.46,66.62,"No",-1.81,-2.72
"288","Japan","JP","Parliamentary",2003,59.8,59.07,"No",-7.66,-7.55
"289","Japan","JP","Parliamentary",2000,60.62,59.02,"No",0.82,-0.0499999999999972
"290","Japan","JP","Parliamentary",1996,59.65,60.27,"No",-0.969999999999999,1.25
"291","Japan","JP","Parliamentary",1993,67.02,66.25,"No",7.37,5.98
"292","Japan","JP","Parliamentary",1990,73.31,74.95,"No",6.29000000000001,8.7
"293","Japan","JP","Parliamentary",1986,63.99,71.53,"No",-9.32,-3.42
"294","Japan","JP","Parliamentary",1983,67.94,67.6,"No",3.95,-3.93000000000001
"295","Japan","JP","Parliamentary",1980,74.56,74.7,"No",6.62,7.10000000000001
"296","Japan","JP","Parliamentary",1979,68,68.18,"No",-6.56,-6.52
"297","Japan","JP","Parliamentary",1976,73.44,73.55,"No",5.44,5.36999999999999
"298","Japan","JP","Parliamentary",1972,71.75,73.86,"No",-1.69,0.310000000000002
"299","Japan","JP","Parliamentary",1969,68.5,68.63,"No",-3.25,-5.23
"300","Japan","JP","Parliamentary",1967,73.98,73.36,"No",5.48,4.73
"301","Japan","JP","Parliamentary",1963,71.14,68.62,"No",-2.84,-4.73999999999999
"302","Japan","JP","Parliamentary",1960,73.5,71.38,"No",2.36,2.75999999999999
"303","Japan","JP","Parliamentary",1958,76.98,72.91,"No",3.48,1.53
"304","Japan","JP","Parliamentary",1955,75.83,73.59,"No",-1.15000000000001,0.680000000000007
"305","Japan","JP","Parliamentary",1953,74.21,70.71,"No",-1.62,-2.88000000000001
"306","Japan","JP","Parliamentary",1952,76.43,77.43,"No",2.22000000000001,6.72000000000001
"307","Japan","JP","Parliamentary",1949,74.04,70.59,"No",-2.39,-6.84
"308","Japan","JP","Parliamentary",1947,67.95,65.91,"No",-6.09,-4.68000000000001
"309","Japan","JP","Parliamentary",1946,72.08,64.94,"No",4.13,-0.969999999999999
"310","Latvia","LV","Parliamentary",2014,58.8,51.69,"No",NA,NA
"311","Latvia","LV","Parliamentary",2011,59.49,53.02,"No",0.690000000000005,1.33000000000001
"312","Latvia","LV","Parliamentary",2010,64.72,52.46,"No",5.23,-0.560000000000002
"313","Latvia","LV","Parliamentary",2006,60.98,50.18,"No",-3.74,-2.28
"314","Latvia","LV","Parliamentary",2002,71.17,55.08,"No",10.19,4.9
"315","Latvia","LV","Parliamentary",1998,71.9,51.91,"No",0.730000000000004,-3.17
"316","Latvia","LV","Parliamentary",1995,71.9,50.64,"No",0,-1.27
"317","Latvia","LV","Parliamentary",1993,89.88,57.72,"No",17.98,7.08
"318","Latvia","LV","Parliamentary",1990,81.2,80.95,"No",-8.67999999999999,23.23
"319","Lithuania","LT","Parliamentary",2012,52.93,55.86,"No",NA,NA
"320","Lithuania","LT","Parliamentary",2008,48.59,46.15,"No",-4.34,-9.71
"321","Lithuania","LT","Parliamentary",2004,46.04,43.33,"No",-2.55,-2.82
"322","Lithuania","LT","Parliamentary",2000,58.18,50.43,"No",12.14,7.1
"323","Lithuania","LT","Parliamentary",1996,52.92,49.96,"No",-5.26,-0.469999999999999
"324","Lithuania","LT","Parliamentary",1992,75.22,70.21,"No",22.3,20.25
"325","Luxembourg","LU","Parliamentary",2013,91.15,55.12,"Yes",NA,NA
"326","Luxembourg","LU","Parliamentary",2009,90.93,53.2,"Yes",-0.219999999999999,-1.91999999999999
"327","Luxembourg","LU","Parliamentary",2004,91.68,56.5,"Yes",0.75,3.3
"328","Luxembourg","LU","Parliamentary",1999,86.51,56.92,"Yes",-5.17,0.420000000000002
"329","Luxembourg","LU","Parliamentary",1994,88.3,60.52,"Yes",1.78999999999999,3.6
"330","Luxembourg","LU","Parliamentary",1989,87.39,64.07,"Yes",-0.909999999999997,3.54999999999999
"331","Luxembourg","LU","Parliamentary",1984,88.81,66.83,"Yes",1.42,2.76000000000001
"332","Luxembourg","LU","Parliamentary",1979,88.85,68.48,"Yes",0.039999999999992,1.65000000000001
"333","Luxembourg","LU","Parliamentary",1974,90.14,73.74,"Yes",1.29000000000001,5.25999999999999
"334","Luxembourg","LU","Parliamentary",1968,88.56,67.79,"Yes",-1.58,-5.94999999999999
"335","Luxembourg","LU","Parliamentary",1964,90.57,72.55,"Yes",2.00999999999999,4.75999999999999
"336","Luxembourg","LU","Parliamentary",1959,92.33,74.29,"Yes",1.76000000000001,1.74000000000001
"337","Luxembourg","LU","Parliamentary",1954,92.65,73.14,"Yes",0.320000000000007,-1.15000000000001
"338","Luxembourg","LU","Parliamentary",1951,90.78,37.29,"Yes",-1.87,-35.85
"339","Luxembourg","LU","Parliamentary",1948,91.9,35.55,"Yes",1.12,-1.74
"340","Luxembourg","LU","Parliamentary",1945,NA,74.95,"Yes",NA,39.4
"341","Malta","MT","Parliamentary",2013,92.95,91.72,"No",NA,NA
"342","Malta","MT","Parliamentary",2008,93.3,88.88,"No",0.349999999999994,-2.84
"343","Malta","MT","Parliamentary",2003,95.7,95.35,"No",2.40000000000001,6.47
"344","Malta","MT","Parliamentary",1998,95.4,95.93,"No",-0.299999999999997,0.580000000000013
"345","Malta","MT","Parliamentary",1996,97.16,98.02,"No",1.75999999999999,2.08999999999999
"346","Malta","MT","Parliamentary",1992,96.04,95.33,"No",-1.11999999999999,-2.69
"347","Malta","MT","Parliamentary",1987,96.11,95.57,"No",0.0699999999999932,0.239999999999995
"348","Malta","MT","Parliamentary",1981,94.64,86.03,"No",-1.47,-9.53999999999999
"349","Malta","MT","Parliamentary",1976,95,89.81,"No",0.359999999999999,3.78
"350","Malta","MT","Parliamentary",1971,92.93,77.55,"No",-2.06999999999999,-12.26
"351","Malta","MT","Parliamentary",1966,89.71,76.73,"No",-3.22000000000001,-0.819999999999993
"352","Malta","MT","Parliamentary",1962,90.77,79.41,"No",1.06,2.67999999999999
"353","Malta","MT","Parliamentary",1955,81.16,67.74,"No",-9.61,-11.67
"354","Malta","MT","Parliamentary",1953,80.37,66.04,"No",-0.789999999999992,-1.69999999999999
"355","Malta","MT","Parliamentary",1951,74.59,60.37,"No",-5.78,-5.67000000000001
"356","Malta","MT","Parliamentary",1950,76.02,57.06,"No",1.42999999999999,-3.31
"357","Malta","MT","Parliamentary",1947,75.44,58.97,"No",-0.579999999999998,1.91
"358","Netherlands","NL","Parliamentary",2012,74.56,71.02,"No",NA,NA
"359","Netherlands","NL","Parliamentary",2010,75.4,71.13,"No",0.840000000000003,0.109999999999999
"360","Netherlands","NL","Parliamentary",2006,80.35,77.48,"No",4.94999999999999,6.35000000000001
"361","Netherlands","NL","Parliamentary",2003,80.04,77.54,"No",-0.309999999999988,0.0600000000000023
"362","Netherlands","NL","Parliamentary",2002,79.06,76.82,"No",-0.980000000000004,-0.720000000000013
"363","Netherlands","NL","Parliamentary",1998,73.23,70.12,"No",-5.83,-6.69999999999999
"364","Netherlands","NL","Parliamentary",1994,78.75,75.2,"No",5.52,5.08
"365","Netherlands","NL","Parliamentary",1989,80.27,78.01,"No",1.52,2.81
"366","Netherlands","NL","Parliamentary",1986,85.76,84.22,"No",5.49000000000001,6.20999999999999
"367","Netherlands","NL","Parliamentary",1982,80.98,80.3,"No",-4.78,-3.92
"368","Netherlands","NL","Parliamentary",1981,87.03,85.19,"No",6.05,4.89
"369","Netherlands","NL","Parliamentary",1977,88,86.27,"No",0.969999999999999,1.08
"370","Netherlands","NL","Parliamentary",1972,83.5,90.09,"No",-4.5,3.82000000000001
"371","Netherlands","NL","Parliamentary",1971,79.08,77.83,"No",-4.42,-12.26
"372","Netherlands","NL","Parliamentary",1967,94.95,92.07,"Yes",15.87,14.24
"373","Netherlands","NL","Parliamentary",1963,95.13,87.95,"Yes",0.179999999999993,-4.11999999999999
"374","Netherlands","NL","Parliamentary",1959,95.57,88.76,"Yes",0.439999999999998,0.810000000000002
"375","Netherlands","NL","Parliamentary",1956,95.5,88.07,"Yes",-0.0699999999999932,-0.690000000000012
"376","Netherlands","NL","Parliamentary",1952,94.98,86.87,"Yes",-0.519999999999996,-1.19999999999999
"377","Netherlands","NL","Parliamentary",1948,93.67,85.14,"Yes",-1.31,-1.73
"378","Netherlands","NL","Parliamentary",1946,93.12,85.47,"Yes",-0.549999999999997,0.329999999999998
"379","New Zealand","NZ","Parliamentary",2014,76.95,72.35,"No",NA,NA
"380","New Zealand","NZ","Parliamentary",2011,74.21,69.83,"No",-2.74000000000001,-2.52
"381","New Zealand","NZ","Parliamentary",2008,79.46,77.84,"No",5.25,8.01000000000001
"382","New Zealand","NZ","Parliamentary",2005,80.29,79.22,"No",0.830000000000013,1.38
"383","New Zealand","NZ","Parliamentary",2002,76.98,72.49,"No",-3.31,-6.73
"384","New Zealand","NZ","Parliamentary",1999,84.77,76.11,"No",7.78999999999999,3.62
"385","New Zealand","NZ","Parliamentary",1996,88.28,83.02,"No",3.51000000000001,6.91
"386","New Zealand","NZ","Parliamentary",1993,85.2,79.61,"No",-3.08,-3.41
"387","New Zealand","NZ","Parliamentary",1990,85.24,78.62,"No",0.039999999999992,-0.989999999999995
"388","New Zealand","NZ","Parliamentary",1987,89.06,81.43,"No",3.82000000000001,2.81
"389","New Zealand","NZ","Parliamentary",1984,93.71,87.44,"No",4.64999999999999,6.00999999999999
"390","New Zealand","NZ","Parliamentary",1981,91.44,88.86,"No",-2.27,1.42
"391","New Zealand","NZ","Parliamentary",1978,84.9,82.32,"No",-6.53999999999999,-6.54000000000001
"392","New Zealand","NZ","Parliamentary",1975,83.17,81.7,"No",-1.73,-0.61999999999999
"393","New Zealand","NZ","Parliamentary",1972,89.83,85.31,"No",6.66,3.61
"394","New Zealand","NZ","Parliamentary",1969,89.88,85.62,"No",0.0499999999999972,0.310000000000002
"395","New Zealand","NZ","Parliamentary",1966,86.6,79.35,"No",-3.28,-6.27000000000001
"396","New Zealand","NZ","Parliamentary",1963,89.56,83.32,"No",2.96000000000001,3.97
"397","New Zealand","NZ","Parliamentary",1960,90.26,85.55,"No",0.700000000000003,2.23
"398","New Zealand","NZ","Parliamentary",1957,93.44,85.54,"No",3.17999999999999,-0.00999999999999091
"399","New Zealand","NZ","Parliamentary",1954,94.57,91.08,"No",1.13,5.53999999999999
"400","New Zealand","NZ","Parliamentary",1951,96.21,95.11,"No",1.64,4.03
"401","New Zealand","NZ","Parliamentary",1949,97.01,99.57,"No",0.800000000000011,4.45999999999999
"402","New Zealand","NZ","Parliamentary",1946,97.6,92.13,"No",0.589999999999989,-7.44
"403","Norway","NO","Parliamentary",2013,78.23,77.93,"No",NA,NA
"404","Norway","NO","Parliamentary",2009,76.37,74.74,"No",-1.86,-3.19000000000001
"405","Norway","NO","Parliamentary",2005,77.44,76.54,"No",1.06999999999999,1.80000000000001
"406","Norway","NO","Parliamentary",2001,75.48,73.5,"No",-1.95999999999999,-3.04000000000001
"407","Norway","NO","Parliamentary",1997,78.33,76.77,"No",2.84999999999999,3.27
"408","Norway","NO","Parliamentary",1993,75.85,74.47,"No",-2.48,-2.3
"409","Norway","NO","Parliamentary",1989,83.16,81.52,"No",7.31,7.05
"410","Norway","NO","Parliamentary",1985,84.03,83.65,"No",0.870000000000005,2.13000000000001
"411","Norway","NO","Parliamentary",1981,81.99,82.26,"No",-2.04000000000001,-1.39
"412","Norway","NO","Parliamentary",1977,82.89,79.17,"No",0.900000000000006,-3.09
"413","Norway","NO","Parliamentary",1973,80.24,80.06,"No",-2.65000000000001,0.890000000000001
"414","Norway","NO","Parliamentary",1969,83.84,85.11,"No",3.60000000000001,5.05
"415","Norway","NO","Parliamentary",1965,85.43,85.03,"No",1.59,-0.0799999999999983
"416","Norway","NO","Parliamentary",1961,79.07,77.67,"No",-6.36000000000001,-7.36
"417","Norway","NO","Parliamentary",1957,78.32,76.94,"No",-0.75,-0.730000000000004
"418","Norway","NO","Parliamentary",1953,79.33,79.55,"No",1.01000000000001,2.61
"419","Norway","NO","Parliamentary",1949,82.02,80.55,"No",2.69,1
"420","Norway","NO","Parliamentary",1945,76.36,71.35,"No",-5.66,-9.2
"421","Poland","PL","Parliamentary",2011,48.92,48.54,"No",NA,NA
"422","Poland","PL","Parliamentary",2007,53.88,54.24,"No",4.96,5.7
"423","Poland","PL","Parliamentary",2005,40.57,40.87,"No",-13.31,-13.37
"424","Poland","PL","Parliamentary",2001,46.18,47.63,"No",5.61,6.76000000000001
"425","Poland","PL","Parliamentary",1997,47.93,48.8,"No",1.75,1.16999999999999
"426","Poland","PL","Parliamentary",1993,52.08,52,"No",4.15,3.2
"427","Poland","PL","Parliamentary",1991,43.2,44.4,"No",-8.88,-7.6
"428","Poland","PL","Parliamentary",1989,62.11,63.96,"No",18.91,19.56
"429","Poland","PL","Parliamentary",1985,78.86,NA,"No",16.75,NA
"430","Poland","PL","Parliamentary",1980,98.87,NA,"No",20.01,NA
"431","Poland","PL","Parliamentary",1976,98.27,NA,"No",-0.600000000000009,NA
"432","Poland","PL","Parliamentary",1972,97.94,NA,"No",-0.329999999999998,NA
"433","Poland","PL","Parliamentary",1969,97.61,NA,"No",-0.329999999999998,NA
"434","Poland","PL","Parliamentary",1965,96.62,NA,"No",-0.989999999999995,NA
"435","Poland","PL","Parliamentary",1961,94.83,NA,"No",-1.79000000000001,NA
"436","Poland","PL","Parliamentary",1957,94.14,NA,"No",-0.689999999999998,NA
"437","Poland","PL","Parliamentary",1952,95.03,NA,"No",0.890000000000001,NA
"438","Poland","PL","Parliamentary",1947,NA,NA,"No",NA,NA
"439","Portugal","PT","Parliamentary",2015,56.93,61.37,"No",NA,NA
"440","Portugal","PT","Parliamentary",2011,58.03,64.49,"No",1.1,3.12
"441","Portugal","PT","Parliamentary",2009,59.68,66.14,"No",1.65,1.65000000000001
"442","Portugal","PT","Parliamentary",2005,64.26,69.23,"No",4.58000000000001,3.09
"443","Portugal","PT","Parliamentary",2002,62.84,68.62,"No",-1.42,-0.609999999999999
"444","Portugal","PT","Parliamentary",1999,61.05,69.27,"No",-1.79000000000001,0.649999999999991
"445","Portugal","PT","Parliamentary",1995,66.3,79.11,"No",5.25,9.84
"446","Portugal","PT","Parliamentary",1991,68.18,77.71,"No",1.88000000000001,-1.40000000000001
"447","Portugal","PT","Parliamentary",1987,72.64,78.15,"No",4.45999999999999,0.440000000000012
"448","Portugal","PT","Parliamentary",1985,75.37,79.69,"No",2.73,1.53999999999999
"449","Portugal","PT","Parliamentary",1983,78.64,77.43,"No",3.27,-2.25999999999999
"450","Portugal","PT","Parliamentary",1980,85.45,87.91,"No",6.81,10.48
"451","Portugal","PT","Parliamentary",1979,87.54,88.25,"No",2.09,0.340000000000003
"452","Portugal","PT","Parliamentary",1976,83.27,83.29,"No",-4.27000000000001,-4.95999999999999
"453","Portugal","PT","Parliamentary",1975,91.73,89.73,"No",8.46000000000001,6.44
"454","Romania","RO","Parliamentary",2012,41.76,42.81,"No",NA,NA
"455","Romania","RO","Parliamentary",2008,39.2,40.48,"No",-2.56,-2.33000000000001
"456","Romania","RO","Parliamentary",2004,58.51,62.26,"No",19.31,21.78
"457","Romania","RO","Parliamentary",2000,65.31,62.16,"No",6.8,-0.100000000000001
"458","Romania","RO","Parliamentary",1996,76.01,78.2,"No",10.7,16.04
"459","Romania","RO","Parliamentary",1992,76.29,76.16,"No",0.280000000000001,-2.04000000000001
"460","Slovakia","SK","Parliamentary",2012,59.11,57.85,"No",NA,NA
"461","Slovakia","SK","Parliamentary",2010,58.84,58.38,"No",-0.269999999999996,0.530000000000001
"462","Slovakia","SK","Parliamentary",2006,54.67,56.4,"No",-4.17,-1.98
"463","Slovakia","SK","Parliamentary",2002,70.07,71.63,"No",15.4,15.23
"464","Slovakia","SK","Parliamentary",1998,84.25,78.86,"No",14.18,7.23
"465","Slovakia","SK","Parliamentary",1994,75.41,75.93,"No",-8.84,-2.92999999999999
"466","Slovakia","SK","Parliamentary",1992,84.68,83.76,"No",9.27000000000001,7.83
"467","Slovakia","SK","Parliamentary",1990,96.33,93.06,"No",11.65,9.3
"468","Slovenia","SI","Parliamentary",2014,51.73,54.09,"No",NA,NA
"469","Slovenia","SI","Parliamentary",2011,65.6,66.99,"No",13.87,12.9
"470","Slovenia","SI","Parliamentary",2008,63.1,65.04,"No",-2.49999999999999,-1.94999999999999
"471","Slovenia","SI","Parliamentary",2004,60.64,61.09,"No",-2.46,-3.95
"472","Slovenia","SI","Parliamentary",2000,70.36,72.33,"No",9.72,11.24
"473","Slovenia","SI","Parliamentary",1996,73.67,75.75,"No",3.31,3.42
"474","Slovenia","SI","Parliamentary",1992,85.9,85.52,"No",12.23,9.77
"475","Spain","ES","Parliamentary",2011,68.94,63.26,"No",NA,NA
"476","Spain","ES","Parliamentary",2008,75.32,69.94,"No",6.38,6.68
"477","Spain","ES","Parliamentary",2004,75.66,76.25,"No",0.340000000000003,6.31
"478","Spain","ES","Parliamentary",2000,68.71,73.79,"No",-6.95,-2.45999999999999
"479","Spain","ES","Parliamentary",1996,78.06,80.56,"No",9.35000000000001,6.77
"480","Spain","ES","Parliamentary",1993,77.05,77.43,"No",-1.01000000000001,-3.13
"481","Spain","ES","Parliamentary",1989,70.01,71.28,"No",-7.03999999999999,-6.15000000000001
"482","Spain","ES","Parliamentary",1986,70.37,73.72,"No",0.359999999999999,2.44
"483","Spain","ES","Parliamentary",1982,79.83,83.11,"No",9.45999999999999,9.39
"484","Spain","ES","Parliamentary",1979,68.13,72.32,"No",-11.7,-10.79
"485","Spain","ES","Parliamentary",1977,76.96,79.36,"No",8.83,7.04000000000001
"486","Sweden","SE","Parliamentary",2014,85.81,82.61,"No",NA,NA
"487","Sweden","SE","Parliamentary",2010,84.63,82.63,"No",-1.18000000000001,0.019999999999996
"488","Sweden","SE","Parliamentary",2006,81.99,80.6,"No",-2.64,-2.03
"489","Sweden","SE","Parliamentary",2002,80.11,78.04,"No",-1.88,-2.55999999999999
"490","Sweden","SE","Parliamentary",1998,81.39,77.72,"No",1.28,-0.320000000000007
"491","Sweden","SE","Parliamentary",1994,86.82,82.36,"No",5.42999999999999,4.64
"492","Sweden","SE","Parliamentary",1991,86.74,82.77,"No",-0.0799999999999983,0.409999999999997
"493","Sweden","SE","Parliamentary",1988,85.96,82.68,"No",-0.780000000000001,-0.0899999999999892
"494","Sweden","SE","Parliamentary",1985,89.85,86.22,"No",3.89,3.53999999999999
"495","Sweden","SE","Parliamentary",1982,91.45,88.61,"No",1.60000000000001,2.39
"496","Sweden","SE","Parliamentary",1979,90.72,86.94,"No",-0.730000000000004,-1.67
"497","Sweden","SE","Parliamentary",1976,91.76,88.49,"No",1.04000000000001,1.55
"498","Sweden","SE","Parliamentary",1973,90.84,85.81,"No",-0.920000000000002,-2.67999999999999
"499","Sweden","SE","Parliamentary",1970,88.28,87.31,"No",-2.56,1.5
"500","Sweden","SE","Parliamentary",1968,89.29,86.57,"No",1.01000000000001,-0.740000000000009
"501","Sweden","SE","Parliamentary",1964,83.86,80.85,"No",-5.43000000000001,-5.72
"502","Sweden","SE","Parliamentary",1960,85.91,82.76,"No",2.05,1.91000000000001
"503","Sweden","SE","Parliamentary",1958,77.42,75.6,"No",-8.48999999999999,-7.16000000000001
"504","Sweden","SE","Parliamentary",1956,79.84,77.31,"No",2.42,1.71000000000001
"505","Sweden","SE","Parliamentary",1952,79.11,77.32,"No",-0.730000000000004,0.00999999999999091
"506","Sweden","SE","Parliamentary",1948,82.74,82.02,"No",3.63,4.7
"507","Switzerland","CH","Parliamentary",2011,49.1,40.04,"No",NA,NA
"508","Switzerland","CH","Parliamentary",2007,48.28,39.79,"No",-0.82,-0.25
"509","Switzerland","CH","Parliamentary",2003,45.22,37.27,"No",-3.06,-2.52
"510","Switzerland","CH","Parliamentary",1999,43.22,34.94,"No",-2,-2.33000000000001
"511","Switzerland","CH","Parliamentary",1995,42.25,35.66,"No",-0.969999999999999,0.719999999999999
"512","Switzerland","CH","Parliamentary",1991,46.04,39.67,"No",3.79,4.01000000000001
"513","Switzerland","CH","Parliamentary",1987,47.48,39.9,"No",1.44,0.229999999999997
"514","Switzerland","CH","Parliamentary",1983,48.91,40.79,"No",1.43,0.890000000000001
"515","Switzerland","CH","Parliamentary",1979,48.06,40.6,"No",-0.849999999999994,-0.189999999999998
"516","Switzerland","CH","Parliamentary",1975,52.39,43.62,"No",4.33,3.02
"517","Switzerland","CH","Parliamentary",1971,56.36,45.02,"Yes",3.97,1.40000000000001
"518","Switzerland","CH","Parliamentary",1967,63.76,53.21,"Yes",7.4,8.19
"519","Switzerland","CH","Parliamentary",1963,64.46,53.46,"Yes",0.699999999999996,0.25
"520","Switzerland","CH","Parliamentary",1959,68.46,58.11,"Yes",4,4.65
"521","Switzerland","CH","Parliamentary",1955,68.71,60.78,"Yes",0.25,2.67
"522","Switzerland","CH","Parliamentary",1951,69.78,62.98,"Yes",1.07000000000001,2.2
"523","Switzerland","CH","Parliamentary",1947,71.69,66.01,"Yes",1.91,3.03000000000001
"524","United Kingdom","GB","Parliamentary",2015,66.12,60.45,"No",NA,NA
"525","United Kingdom","GB","Parliamentary",2010,65.77,61.06,"No",-0.350000000000009,0.609999999999999
"526","United Kingdom","GB","Parliamentary",2005,61.36,58.32,"No",-4.41,-2.74
"527","United Kingdom","GB","Parliamentary",2001,59.38,57.56,"No",-1.98,-0.759999999999998
"528","United Kingdom","GB","Parliamentary",1997,71.46,69.39,"No",12.08,11.83
"529","United Kingdom","GB","Parliamentary",1992,77.83,75.36,"No",6.37,5.97
"530","United Kingdom","GB","Parliamentary",1987,75.42,75.17,"No",-2.41,-0.189999999999998
"531","United Kingdom","GB","Parliamentary",1983,72.81,71.7,"No",-2.61,-3.47
"532","United Kingdom","GB","Parliamentary",1979,76,75.06,"No",3.19,3.36
"533","United Kingdom","GB","Parliamentary",1974,72.93,77.88,"No",-3.06999999999999,2.81999999999999
"534","United Kingdom","GB","Parliamentary",1970,72.15,71.15,"No",-0.780000000000001,-6.72999999999999
"535","United Kingdom","GB","Parliamentary",1966,75.96,73.77,"No",3.80999999999999,2.61999999999999
"536","United Kingdom","GB","Parliamentary",1964,77.17,75.13,"No",1.21000000000001,1.36
"537","United Kingdom","GB","Parliamentary",1959,78.71,77.46,"No",1.53999999999999,2.33
"538","United Kingdom","GB","Parliamentary",1955,76.78,75.75,"No",-1.92999999999999,-1.70999999999999
"539","United Kingdom","GB","Parliamentary",1951,81.89,81.36,"No",5.11,5.61
"540","United Kingdom","GB","Parliamentary",1950,83.61,81.59,"No",1.72,0.230000000000004
"541","United Kingdom","GB","Parliamentary",1945,72.55,70.05,"No",-11.06,-11.54
